ID,A1,A2,agreement
173119,Yes,Yes,Yes
198718,Yes,Yes,Yes
535998,Yes,Yes,Yes
541431,Yes,Yes,Yes
554826,Yes,Yes,Yes
555528,Yes,Yes,Yes
613441,Yes,Yes,Yes
689961,Yes,Yes,Yes
752381,Yes,Yes,Yes
754885,Yes,Yes,Yes
827684,Yes,Yes,Yes
837311,Yes,Yes,Yes
941965,Yes,Yes,Yes
958730,Yes,Yes,Yes
994861,Yes,Yes,Yes
1004333,Yes,Yes,Yes
1005538,Yes,Yes,Yes
1030266,Yes,Yes,Yes
1032110,Yes,Yes,Yes
1048993,Yes,Yes,Yes
1111184,Yes,Yes,Yes
1166888,Yes,Yes,Yes
1177913,Yes,Yes,Yes
1185343,Yes,Yes,Yes
1187009,Yes,Yes,Yes
1195027,Yes,Yes,Yes
1224071,Yes,Yes,Yes
1335216,Yes,Yes,Yes
1336308,Yes,Yes,Yes
1358627,Yes,Yes,Yes
1372090,Yes,Yes,Yes
1377929,Yes,Yes,Yes
1439421,Yes,Yes,Yes
1489212,Yes,Yes,Yes
1491431,Yes,Yes,Yes
1491724,Yes,Yes,Yes
1502837,Yes,Yes,Yes
1512256,Yes,Yes,Yes
1512281,Yes,Yes,Yes
1536829,Yes,Yes,Yes
1563587,Yes,Yes,Yes
1596672,Yes,Yes,Yes
1633335,Yes,Yes,Yes
1641149,Yes,Yes,Yes
1665127,Yes,Yes,Yes
1680582,Yes,Yes,Yes
1688632,No,No,No
1706393,Yes,No,
1718642,Yes,Yes,Yes
1844574,Yes,Yes,Yes
1873254,Yes,Yes,Yes
1877761,Yes,Yes,Yes
1878326,Yes,Yes,Yes
1894045,Yes,Yes,Yes
1924161,Yes,Yes,Yes
1971814,Yes,Yes,Yes
1985216,Yes,Yes,Yes
1993752,No,No,No
2028235,Yes,Yes,Yes
2032272,Yes,Yes,Yes
2085134,Yes,Yes,Yes
2097588,Yes,Yes,Yes
2136311,Yes,Yes,Yes
2142153,Yes,Yes,Yes
2150062,Yes,Yes,Yes
2208941,Yes,Yes,Yes
2209307,Yes,Yes,Yes
2215537,Yes,Yes,Yes
2248843,Yes,Yes,Yes
2256907,Yes,Yes,Yes
2276964,Yes,Yes,Yes
