ID,A1,A2,agreement
287,Yes,Yes,Yes
9868,Yes,Yes,Yes
19657,Yes,Yes,Yes
23772,Yes,Yes,Yes
23903,Yes,Yes,Yes
36667,Yes,Yes,Yes
50297,Yes,Yes,Yes
52996,Yes,Not sure,
64729,Yes,Yes,Yes
65348,Yes,Yes,Yes
73775,Yes,Yes,Yes
74208,Yes,Yes,Yes
75732,Yes,Yes,Yes
80396,Yes,Not sure,
92294,Yes,Yes,Yes
92734,Yes,Yes,Yes
104086,Yes,Yes,Yes
108257,Yes,Yes,Yes
112289,Yes,Yes,Yes
112924,Yes,Yes,Yes
115050,Yes,Yes,Yes
118998,Yes,Yes,Yes
129357,Yes,Yes,Yes
129368,No,No,No
131098,Yes,Yes,Yes
143157,Yes,Yes,Yes
143514,Yes,Yes,Yes
146966,Yes,Yes,Yes
148133,Yes,Yes,Yes
150900,Yes,Yes,Yes
151807,Yes,No,
163550,Yes,Yes,Yes
183008,Yes,Yes,Yes
194227,Yes,Yes,Yes
208681,Yes,Yes,Yes
212382,Yes,Yes,Yes
214386,Yes,Yes,Yes
215028,Yes,Yes,Yes
218453,Yes,Yes,Yes
230941,Yes,Yes,Yes
248449,Yes,Yes,Yes
254333,Yes,Yes,Yes
265578,Yes,Yes,Yes
270404,Yes,Yes,Yes
276715,Yes,Yes,Yes
288721,Yes,Yes,Yes
293795,No,No,No
304864,Yes,Yes,Yes
314807,Yes,Yes,Yes
316409,Yes,Yes,Yes
317969,Yes,Yes,Yes
323791,Yes,Yes,Yes
326355,Yes,Yes,Yes
335667,Yes,Yes,Yes
337963,Yes,Yes,Yes
340392,Yes,Yes,Yes
342700,Yes,Yes,Yes
343360,Yes,Yes,Yes
344468,Yes,Yes,Yes
346387,Yes,Yes,Yes
348395,Yes,Yes,Yes
356065,Yes,Yes,Yes
360709,Yes,Yes,Yes
362546,Yes,Yes,Yes
372117,Yes,Yes,Yes
377537,Yes,Yes,Yes
390524,Yes,Yes,Yes
390779,Yes,Yes,Yes
392605,Yes,Yes,Yes
398005,Yes,Yes,Yes
398947,Yes,No,
399477,No,No,No
400810,Yes,Yes,Yes
410030,Yes,Yes,Yes
410577,Yes,Yes,Yes
411683,Yes,Yes,Yes
413255,Yes,Yes,Yes
417883,Yes,Yes,Yes
421536,Yes,Yes,Yes
434751,Yes,Yes,Yes
444001,Yes,Yes,Yes
444541,Yes,Yes,Yes
451641,Yes,Yes,Yes
452310,Yes,Yes,Yes
455908,Yes,Yes,Yes
456704,Yes,Yes,Yes
462527,Yes,Yes,Yes
466918,Yes,Yes,Yes
467314,Yes,Yes,Yes
470125,Yes,Yes,Yes
472672,Yes,Yes,Yes
476278,Yes,Yes,Yes
477122,Yes,Yes,Yes
484269,Yes,Yes,Yes
488427,Yes,Yes,Yes
493328,Yes,Yes,Yes
494046,Yes,Yes,Yes
503374,Yes,No,
504706,Yes,Yes,Yes
504843,Yes,Yes,Yes
506709,No,No,No
507326,Yes,Yes,Yes
513597,Yes,Yes,Yes
519902,Yes,Yes,Yes
522145,Yes,Yes,Yes
525940,Yes,Yes,Yes
526503,Yes,Yes,Yes
534603,Yes,Yes,Yes
535462,Yes,Yes,Yes
538119,Yes,Yes,Yes
542082,No,No,No
546235,Yes,Yes,Yes
548640,Yes,Yes,Yes
554738,Yes,Yes,Yes
555118,Yes,Yes,Yes
556259,Yes,Yes,Yes
557316,Yes,Yes,Yes
557709,Yes,No,
567428,Yes,Yes,Yes
569834,Yes,Yes,Yes
576160,Yes,Yes,Yes
577588,Yes,Yes,Yes
583133,Yes,Yes,Yes
603036,Yes,Yes,Yes
603048,Not sure,Yes,
734,Yes,Yes,Yes
4772,Yes,Yes,Yes
6494,Yes,Yes,Yes
8414,Yes,No,
9587,Yes,Yes,Yes
22094,Yes,Yes,Yes
25231,Yes,Yes,Yes
31068,Yes,Yes,Yes
38741,Yes,Yes,Yes
73413,Yes,Yes,Yes
74167,Yes,Yes,Yes
74581,Yes,Yes,Yes
77151,Yes,Yes,Yes
77291,Yes,Yes,Yes
79848,Not sure,No,
83600,Yes,Yes,Yes
84914,Yes,Yes,Yes
100819,Yes,Yes,Yes
106205,Yes,Yes,Yes
111888,Yes,Yes,Yes
118329,Yes,Yes,Yes
119880,Yes,Yes,Yes
122468,No,Yes,
122657,No,Yes,
140296,Yes,Yes,Yes
141420,Yes,Yes,Yes
144414,Yes,Yes,Yes
147226,Yes,Yes,Yes
148670,Yes,Yes,Yes
151869,Yes,Yes,Yes
155516,Yes,Yes,Yes
156997,Yes,Yes,Yes
176071,Yes,Yes,Yes
182158,Yes,Yes,Yes
183281,Yes,Yes,Yes
183508,Yes,Yes,Yes
190794,Yes,Yes,Yes
206165,Yes,Yes,Yes
209460,Yes,Yes,Yes
217382,Yes,Yes,Yes
221752,Yes,Yes,Yes
240096,Yes,Yes,Yes
241767,Yes,Yes,Yes
242207,Yes,No,
246578,Yes,Yes,Yes
265444,Yes,Yes,Yes
265702,Yes,Yes,Yes
276152,Yes,Yes,Yes
277577,Yes,Yes,Yes
293097,Yes,Yes,Yes
297896,Yes,Yes,Yes
310695,Yes,Yes,Yes
315906,Yes,Yes,Yes
323461,Yes,Yes,Yes
327216,Yes,Yes,Yes
329123,Yes,Yes,Yes
339316,Yes,Yes,Yes
339331,Yes,Yes,Yes
340036,Yes,Yes,Yes
346535,Yes,Yes,Yes
