ID,A1,A2,agreement
173119,Neither,Neither,Neither
198718,Against,Against,Against
535998,In favor,Neither,
541431,Neither,Neither,Neither
554826,Against,Neither,
555528,In favor,In favor,In favor
613441,Neither,Neither,Neither
689961,In favor,Neither,
752381,In favor,Neither,
754885,In favor,Neither,
827684,Against,Neither,
837311,In favor,In favor,In favor
941965,In favor,In favor,In favor
958730,In favor,In favor,In favor
994861,Neither,Neither,Neither
1004333,Neither,Neither,Neither
1005538,In favor,In favor,In favor
1030266,Neither,Neither,Neither
1032110,Neither,Neither,Neither
1048993,In favor,In favor,In favor
1111184,In favor,Neither,
1166888,Neither,Neither,Neither
1177913,Neither,Neither,Neither
1185343,Neither,Neither,Neither
1187009,Neither,Neither,Neither
1195027,In favor,In favor,In favor
1224071,In favor,Neither,
1335216,Neither,Against,
1336308,In favor,In favor,In favor
1358627,Neither,Neither,Neither
1372090,In favor,In favor,In favor
1377929,Neither,In favor,
1439421,Neither,Neither,Neither
1489212,In favor,In favor,In favor
1491431,In favor,Neither,
1491724,In favor,Neither,
1502837,Against,Neither,
1512256,Neither,Neither,Neither
1512281,Neither,Neither,Neither
1536829,In favor,In favor,In favor
1563587,In favor,In favor,In favor
1596672,Neither,Neither,Neither
1633335,In favor,Neither,
1641149,In favor,In favor,In favor
1665127,Neither,Neither,Neither
1680582,In favor,In favor,In favor
1688632,Neither,Neither,Neither
1706393,Neither,Neither,Neither
1718642,In favor,In favor,In favor
1844574,In favor,In favor,In favor
1873254,In favor,In favor,In favor
1877761,In favor,In favor,In favor
1878326,Neither,Neither,Neither
1894045,In favor,In favor,In favor
1924161,In favor,Neither,
1971814,In favor,In favor,In favor
1985216,In favor,Neither,
1993752,Neither,Neither,Neither
2028235,Neither,Neither,Neither
2032272,In favor,In favor,In favor
2085134,In favor,In favor,In favor
2097588,In favor,In favor,In favor
2136311,In favor,Neither,
2142153,In favor,In favor,In favor
2150062,In favor,Neither,
2208941,In favor,In favor,In favor
2209307,Against,Against,Against
2215537,Neither,Neither,Neither
2248843,Neither,In favor,
2256907,In favor,In favor,In favor
2276964,Neither,Neither,Neither
2278415,In favor,Neither,
2297479,In favor,Neither,
2316946,In favor,In favor,In favor
2334446,Neither,In favor,
2353152,In favor,Neither,
2366716,In favor,Neither,
2376670,Neither,Neither,Neither
2389641,Against,Neither,
2402307,Neither,Neither,Neither
2403232,In favor,In favor,In favor
2432008,Against,Against,Against
2457866,Neither,Neither,Neither
2462754,Neither,Neither,Neither
2484351,In favor,In favor,In favor
2499005,In favor,Neither,
2622367,Neither,Against,
2643185,In favor,In favor,In favor
2646959,In favor,In favor,In favor
2650743,Against,Against,Against
2651478,Neither,Neither,Neither
2665674,In favor,In favor,In favor
2669567,In favor,In favor,In favor
2686394,Neither,Neither,Neither
2741101,In favor,In favor,In favor
2748031,In favor,In favor,In favor
2841518,In favor,Neither,
2878333,In favor,In favor,In favor
2898308,In favor,In favor,In favor
2913842,In favor,Neither,
2979252,In favor,Against,
2981849,In favor,In favor,In favor
2983174,In favor,In favor,In favor
3010806,Neither,Against,
3015699,In favor,In favor,In favor
3046928,Neither,Neither,Neither
3062701,In favor,In favor,In favor
3069348,In favor,In favor,In favor
3081266,In favor,In favor,In favor
3091880,Against,Against,Against
3095448,Neither,Neither,Neither
3112200,In favor,Neither,
3130033,In favor,Neither,
3156389,Neither,Against,
3161509,In favor,In favor,In favor
3199463,Neither,Neither,Neither
3219536,In favor,Neither,
3231443,Against,Against,Against
3231812,Against,Against,Against
3272911,In favor,Neither,
3300831,In favor,Neither,
3302442,In favor,In favor,In favor
3312979,Neither,Neither,Neither
3337609,Neither,Neither,Neither
3338847,In favor,In favor,In favor
155155,In favor,Neither,
157825,Neither,Neither,Neither
188190,Neither,Neither,Neither
209559,In favor,In favor,In favor
225614,In favor,In favor,In favor
348122,In favor,In favor,In favor
562299,Neither,Neither,Neither
660007,In favor,In favor,In favor
690010,In favor,In favor,In favor
766781,Against,In favor,
800530,In favor,In favor,In favor
823277,In favor,Neither,
836747,Against,Neither,
889133,In favor,In favor,In favor
921645,In favor,In favor,In favor
933640,In favor,Neither,
954222,In favor,In favor,In favor
962558,In favor,In favor,In favor
1013002,In favor,In favor,In favor
1021034,Neither,Neither,Neither
1036471,Neither,Neither,Neither
1042570,In favor,In favor,In favor
1073420,In favor,In favor,In favor
1077987,Against,Against,Against
1114706,In favor,Neither,
1229955,In favor,In favor,In favor
1235459,In favor,In favor,In favor
1245444,Neither,In favor,
1260517,In favor,In favor,In favor
